1.595033283165467894e-03	3.825886305318612103e-04	3.756925516964935274e-07	3.206067834512015506e-05	3.874223267214614683e-04	1.377146874086874377e-03	2.236512889373154078e-03	1.400668050420757779e-04	2.310040912154309733e-03	7.730129031627797033e-04
1.809114547508650734e-04	7.684420830870527944e-04	5.578714174376995724e-04	2.176910047510288888e-03	2.115978628142712020e-03	2.074652879902748933e-03	5.075371634321737893e-04	1.825583531549526109e-04	1.503047807269572889e-04	2.329058401345134813e-03
5.631036350583330883e-04	1.829067927855964888e-04	1.491899837798873552e-03	7.073321728728603917e-06	6.040910206438292705e-04	2.190917406783112961e-03	2.242134221308958366e-03	5.292935791185095652e-04	1.800197986899322589e-03	1.818865862521057636e-03
5.693035403522763994e-05	1.289720798891865264e-03	6.500644714250651112e-04	1.924399022917392408e-03	2.456950423785031219e-03	1.363807231441913678e-03	5.744219887015527930e-04	4.466762645442199351e-04	1.079942288439101998e-03	2.971908893048076021e-04
2.382687788142442888e-03	1.873625392217703051e-03	2.541226370264407838e-03	1.690783157029045755e-03	2.312192799219238773e-03	-5.370738833128245763e-04	9.770754475280768719e-04	1.827329438295980117e-04	8.765697150210661212e-04	2.025491934139296221e-03
1.786624841713489818e-03	2.413240232276161502e-03	1.479663787625650232e-03	1.899681596360979332e-03	2.459497900733436781e-03	-6.483744229732934985e-04	1.484089603110303520e-03	1.320212813776826385e-03	8.974465011995099405e-04	1.279358539178470722e-03
5.196608124325471489e-04	3.494389572478482375e-06	1.393767812601546781e-03	1.965177575195258854e-03	1.577833243516820697e-03	2.371064846841892167e-03	8.162565032445180105e-04	1.101846242506065651e-03	8.011329073487399519e-04	4.740121276918739484e-04
2.397953419921695483e-03	1.824286133595636773e-03	1.511658406011431649e-03	6.795713529145199980e-04	1.232954490504667997e-03	3.012817996820415373e-04	3.803438291629672907e-04	1.379711828249287776e-03	2.287287236010214237e-03	2.380601195595154641e-03
1.054613094039335815e-03	1.169918193039925667e-03	1.119468146603204168e-03	5.283835750287606096e-04	6.765409588363482073e-04	6.131799946086372499e-04	1.261092155846952863e-03	7.592364792590851558e-04	1.593576638492593192e-03	8.712671512603532061e-04
2.488392272080501219e-03	2.531956614850425485e-03	1.478999010974553073e-04	1.198706431461895629e-03	2.440581140792467789e-03	-3.711636079913919160e-04	5.341387208230919444e-04	2.035190711569926335e-03	7.266770068815706259e-04	4.864973495489655249e-04
